0.012500 2.110479e-10 2.273872e-11
0.014715 2.546449e-10 1.995045e-11
0.016930 2.974186e-10 2.207264e-11
0.019145 3.383976e-10 2.137402e-11
0.021360 3.774597e-10 2.412866e-11
0.023574 4.147904e-10 2.589285e-11
0.025789 4.493074e-10 3.206201e-11
0.028004 4.819988e-10 2.797334e-11
0.030219 5.126916e-10 3.357453e-11
0.032434 5.416114e-10 3.889636e-11
0.034649 5.683859e-10 4.171255e-11
0.036864 5.920455e-10 4.487671e-11
0.039079 6.146209e-10 4.873627e-11
0.041294 6.339619e-10 6.661763e-11
0.043509 6.521247e-10 4.567386e-11
0.045723 6.688090e-10 4.197323e-11
0.047938 6.865500e-10 5.286464e-11
0.050153 7.038859e-10 4.183789e-11
0.052368 7.202099e-10 7.149502e-11
0.054583 7.364550e-10 5.842956e-11
